Neighborhood,Sector,Population.2010,Total_Adult_Residents_Employed.2010,Resident_Jobs:Construction,Resident_Jobs:Manufacturing,Resident_Jobs:Retail_Trade,"Resident_Jobs:Transportation,warehousing,utilities",Resident_Jobs:Information,"Resident_Jobs:Finance,insurance,real_estate","Resident_Jobs:Prof,scientific,admin,waste_mgmt","Resident_Jobs:Educ,health,social_services","Resident_Jobs:Arts,Ent,recreation,accommodation,food_services",Resident_Jobs:Public_admin,Resident_Jobs:Other,Total_Jobs_Located_in_Neighborhood.2000,Jobs_in_Hood:Construction,Jobs_in_Hood:Manufacturing,Jobs_in_Hood:Retail_trade,"Jobs_in_Hood:Transport,warehousing,utilities",Jobs_in_Hood:Information,"Jobs_in_Hood:Finance,insurance,real_estate","Jobs_in_Hood:Prof,scientific,admin,waste_mgmt","Jobs_in_Hood:Educ,health,social_services","Jobs_in_Hood:Arts,Ent,recreation,accommodation,food_services",Jobs_in_Hood:Public_admin,Jobs_in_Hood:Other
South Side Flats,7,"6,597","4,425",3.60%,4.60%,9.40%,3.20%,2.40%,11.30%,17.90%,25.80%,15.00%,2.10%,4.70%,"10,170",6.40%,11.10%,10.10%,8.10%,3.60%,5.50%,9.40%,23.40%,8.30%,2.70%,11.50%
South Side Slopes,7,"4,423","2,679",8.20%,5.50%,13.80%,3.30%,1.60%,5.20%,9.90%,19.20%,22.50%,3.80%,7.00%,387,9.00%,25.80%,9.00%,15.50%,2.60%,5.20%,1.00%,9.00%,6.50%,1.00%,15.20%
Spring Garden,1,884,668,6.70%,12.90%,1.90%,7.80%,3.30%,10.00%,6.40%,23.80%,10.60%,9.10%,7.30%,549,16.40%,29.10%,10.00%,3.60%,1.80%,0.70%,10.90%,7.30%,5.50%,9.10%,5.50%
Spring Hill-City View,1,"2,648",907,2.80%,6.10%,13.00%,2.20%,0.00%,9.40%,13.00%,34.10%,9.70%,2.80%,7.10%,270,9.30%,0.00%,0.00%,40.70%,0.00%,11.10%,0.00%,38.90%,0.00%,0.00%,0.00%
Squirrel Hill North,10,"11,363","6,095",1.10%,5.00%,5.00%,2.30%,1.10%,5.90%,14.80%,51.30%,5.90%,1.30%,6.50%,"8,671",2.10%,0.50%,3.90%,0.30%,3.30%,2.50%,5.80%,71.50%,5.00%,1.60%,3.40%
Squirrel Hill South,10,"15,110","8,064",0.30%,4.40%,8.20%,0.60%,1.00%,3.90%,16.10%,49.10%,6.70%,4.80%,4.90%,"3,854",2.90%,1.40%,16.50%,0.80%,1.90%,9.20%,6.50%,40.50%,11.80%,0.50%,8.00%
St. Clair,7,209,289,0.00%,4.50%,21.80%,2.40%,0.00%,9.30%,0.00%,41.90%,13.80%,0.00%,6.20%,59,0.00%,25.40%,0.00%,0.00%,0.00%,6.80%,0.00%,25.40%,25.40%,0.00%,16.90%
Stanton Heights,13,"4,601","2,513",3.90%,5.50%,11.40%,3.50%,2.20%,12.70%,10.10%,32.00%,5.30%,5.40%,8.00%,124,3.20%,0.00%,0.00%,3.20%,3.20%,12.10%,11.30%,52.40%,0.00%,3.20%,11.30%
Strip District,13,616,277,0.00%,14.80%,6.90%,3.60%,3.20%,15.50%,21.70%,15.90%,5.10%,7.90%,5.40%,"11,228",12.10%,6.80%,6.10%,9.30%,10.40%,10.90%,13.60%,6.10%,7.90%,3.80%,13.10%
Summer Hill,1,"1,051",646,12.70%,0.00%,12.20%,9.80%,7.30%,7.30%,0.00%,17.80%,4.00%,25.40%,3.60%,157,0.00%,2.50%,0.00%,2.50%,66.90%,0.00%,2.50%,9.60%,0.00%,0.00%,15.90%
Swisshelm Park,10,"1,361",717,5.60%,1.10%,9.30%,5.30%,2.10%,7.10%,10.70%,38.90%,12.00%,3.30%,4.50%,77,0.00%,5.20%,0.00%,13.00%,5.20%,0.00%,32.50%,5.20%,0.00%,13.00%,26.00%
Terrace Village,15,"3,228","1,067",2.10%,0.00%,5.50%,4.80%,0.00%,2.00%,13.00%,34.10%,30.50%,3.50%,4.60%,887,2.30%,1.70%,1.10%,1.10%,0.50%,1.10%,0.50%,84.60%,0.00%,2.70%,4.50%
Troy Hill,1,"2,714","1,370",9.10%,11.40%,12.50%,0.50%,0.70%,17.80%,5.00%,16.10%,14.00%,1.80%,11.20%,"2,114",1.40%,64.30%,5.00%,1.90%,0.90%,5.00%,5.70%,6.40%,4.30%,0.20%,5.00%
Upper Hill,15,"2,057",681,1.80%,1.90%,7.60%,2.80%,4.30%,4.10%,11.30%,46.10%,7.60%,7.80%,4.70%,297,1.30%,47.10%,0.00%,0.00%,0.00%,1.30%,5.10%,26.90%,8.40%,0.00%,9.80%
Upper Lawrenceville,13,"2,669","1,191",0.80%,7.50%,14.90%,6.70%,0.00%,13.00%,6.00%,21.30%,16.00%,3.30%,10.40%,984,22.40%,11.20%,20.80%,17.80%,1.50%,3.00%,0.40%,2.00%,4.10%,2.50%,14.20%
West End,4,254,64,0.00%,17.20%,0.00%,0.00%,0.00%,17.20%,18.80%,29.70%,17.20%,0.00%,0.00%,900,16.70%,19.40%,14.40%,0.00%,2.80%,6.10%,10.60%,2.20%,7.20%,10.60%,10.00%
West Oakland,14,"2,604",834,4.30%,0.50%,5.90%,3.40%,0.00%,2.50%,10.70%,45.70%,10.90%,8.20%,8.00%,"12,895",1.60%,1.30%,1.00%,0.50%,0.30%,0.80%,3.10%,88.30%,1.30%,0.60%,1.30%
Westwood,4,"3,066","1,623",2.70%,16.80%,10.20%,2.10%,0.90%,9.20%,9.20%,27.30%,5.80%,6.40%,9.50%,"1,105",7.70%,5.00%,24.40%,2.30%,1.80%,2.70%,19.00%,16.30%,6.30%,2.70%,11.80%
Windgap,4,"1,369",577,6.40%,12.10%,22.70%,4.70%,8.30%,7.30%,10.90%,19.10%,5.90%,1.70%,0.90%,74,0.00%,20.30%,0.00%,0.00%,0.00%,0.00%,13.50%,5.40%,20.30%,0.00%,40.50%
